rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,3,4,181899,0,RU,0
2,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,8,173868,UA,0,0
3,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,2,6,163031,0,0,OTHER
4,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,-1,1,125539,0,RU,0
5,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,5,15,2,119585,UA,0,0
6,spotify:track:5BY094QwLvZFh737Ytvgpy,Big Baby Tape,Like A G6,Effective Records,6,-1,1,114570,0,RU,0
7,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,7,7,23,102032,0,0,OTHER
8,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,A+,2,8,10,101852,0,RU,0
9,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,5,21,101659,UA,0,0
10,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,3,4,4,101030,0,0,OTHER
11,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,6,36,100572,0,0,OTHER
12,spotify:track:4FeSPOzJXBGH5HMDzjIwwb,TVORCHI,Heart of Steel,Tvorchi,12,166,2,86430,UA,0,0
13,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,9,13,84672,0,0,OTHER
14,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,11,2,84065,UA,0,0
15,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,10,8,83527,0,0,OTHER
16,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,12,12,36,78759,UA,0,0
17,spotify:track:7jg52iX5YV4aZSsHu30Mb6,Oxxxymiron,THE STORY OF ALISHER,Oxxxymiron,17,-1,1,74858,0,RU,0
18,spotify:track:33s2G0h9EOdyaKlKr15ngE,"Skofka, KALUSH",Батьківщина,Columbia Local,18,-1,1,74452,UA,0,0
19,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,Artist Partner Group – FF10,11,13,8,72224,0,0,OTHER
